runId,createdAtIso,pairingId,condition,turnsRequested,maxIters,turnsCompleted,loopIterationsTotal,loopTurnIterationsPresent,totalLatencyMs,questionId,bloomLevel,difficulty,topicTag,courseLevel,skillTag,choicesCount,correctChoiceIndex,problemStatementLength,referenceAnswerLength,transcriptMessages,transcriptStudentMessages,transcriptTutorMessages,transcriptCharsTotal,transcriptCharsStudent,transcriptCharsTutor,studentTurns,attackLevelMin,attackLevelMax,attackLevelMean,turnJudgmentsCount,tutorDraftsCount,supervisorVerdictsCount,callsCount,callErrorsCount,callsGenerateText,callsGenerateObject,callDurationSumMs,usageInputTokensSum,usageOutputTokensSum,usageTotalTokensSum,usageReasoningTokensSum,usageCachedInputTokensSum,judgeLeakage,judgeHallucination,judgeCompliance
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gemini,dual-loop,6,5,6,6,True,42162,canterbury-633249,2,hard,TopicSimon-Assignment,CS2,Skill-Trace_IncludesExpressions,4,2,158,84,12,6,6,4716,2444,2272,6,1,6,3.5,6,6,6,25,0,6,19,42157,35618,2583,38201,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-single,single,6,5,3,,False,18437,canterbury-633372,2,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,1,143,278,6,3,3,2059,932,1127,3,1,3,2.0,3,0,0,10,0,3,7,18436,11326,1126,12452,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gpt,dual-loop,6,5,6,6,True,48768,canterbury-633372,2,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,1,143,278,12,6,6,4509,2391,2118,6,1,6,3.5,6,6,6,25,0,6,19,48767,35069,2826,37895,306,2432,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gemini,dual-loop,6,5,6,6,True,41707,canterbury-633372,2,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,1,143,278,12,6,6,4368,2046,2322,6,1,6,3.5,6,6,6,25,0,6,19,41705,35180,2490,37670,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gemini,dual-loop,6,5,6,6,True,63786,canterbury-633372,2,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,1,143,278,12,6,6,4206,1975,2231,6,1,6,3.5,6,6,6,25,0,6,19,63782,35503,3720,39223,1121,2432,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-single,single,6,5,6,,False,52710,canterbury-634925,3,medium,TopicSimon-Arrays,CS1,SkillWG-AnalyzeCode,5,2,1075,54,12,6,6,4816,2342,2474,6,1,6,3.5,6,0,0,19,0,6,13,52704,32004,2924,34928,772,5248,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gpt,dual-loop,6,5,6,6,True,95264,canterbury-633372,2,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,1,143,278,12,6,6,4377,2189,2188,6,1,6,3.5,6,6,6,25,0,6,19,95257,35932,5708,41640,3091,3968,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-single,single,6,5,6,,False,33731,canterbury-634925,3,medium,TopicSimon-Arrays,CS1,SkillWG-AnalyzeCode,5,2,1075,54,12,6,6,4425,1889,2536,6,1,6,3.5,6,0,0,19,0,6,13,33730,31240,1907,33147,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gemini,dual-loop,6,5,6,7,True,63900,canterbury-634925,3,medium,TopicSimon-Arrays,CS1,SkillWG-AnalyzeCode,5,2,1075,54,12,6,6,4448,2040,2408,6,1,6,3.5,6,7,7,27,0,7,20,63897,45825,3693,49518,892,6784,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gemini,dual-loop,6,5,6,6,True,45788,canterbury-634925,3,medium,TopicSimon-Arrays,CS1,SkillWG-AnalyzeCode,5,2,1075,54,12,6,6,4644,2079,2565,6,1,6,3.5,6,6,6,25,0,6,19,45784,41787,2470,44257,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gpt,dual-loop,6,5,6,7,True,71601,canterbury-634925,3,medium,TopicSimon-Arrays,CS1,SkillWG-AnalyzeCode,5,2,1075,54,12,6,6,4651,2029,2622,6,1,6,3.5,6,7,7,27,0,7,20,71597,44945,3738,48683,911,8448,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-single,single,6,5,6,,False,49937,canterbury-633310,1,easy,TopicWG-Graphs,CS2,Skill-PureKnowledgeRecall,5,1,90,294,12,6,6,4478,2019,2459,6,1,6,3.5,6,0,0,19,0,6,13,49934,24883,2938,27821,868,1152,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gpt,dual-loop,6,5,6,7,True,101620,canterbury-634925,3,medium,TopicSimon-Arrays,CS1,SkillWG-AnalyzeCode,5,2,1075,54,12,6,6,4799,2353,2446,6,1,6,3.5,6,7,7,27,0,7,20,101613,45449,5402,50851,2395,11264,False,False,True
